smiles,output_class,output_reg,compound_id,parent_chemblid,target_protein_id,target_chembl_id,uniprot_id,count,parent_pref_name,max_phase,first_approval,usan_year
CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)CCCC(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O,0.99999857,9.2309065,d046374,CHEMBL2070246,tp0430,CHEMBL1804,P30874,1,,,,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nn(C2CCCC2)c2ncnc(N)c12,0.56903183,9.041783,d120820,CHEMBL3426227,tp0176,CHEMBL1628481,P35414,1,,,,
CCCCNC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NCCCC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,1.0,9.178507,d050550,CHEMBL86913,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2cccc(-c3cc(OC)cc(OC)c3)c2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,1.0,9.331274,d126049,CHEMBL3581666,tp0003,CHEMBL243,Q72874,1,,,,
CCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCc1nnn[nH]1)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O,0.99998796,9.174263,d046383,CHEMBL2070253,tp0430,CHEMBL1804,P30874,1,,,,
COc1ccc([C@@H]2c3nc(NC(C)C)ccc3[C@H](c3ccc4c(c3)OCO4)[C@H]2C(=O)O)c(CCC(C)(C)O)c1,1.0,9.05648,d365684,CHEMBL37920,tp0176,CHEMBL1628481,P35414,1,,,,
CCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCc1nnn[nH]1)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O,0.99998856,9.1972885,d046384,CHEMBL2070254,tp0430,CHEMBL1804,P30874,1,,,,
COc1ccc([C@@H]2c3nc(NC(C)C)ccc3[C@H](c3ccc4c(c3)OCO4)[C@H]2C(=O)O)c(CC(C)CO)c1,1.0,9.461444,d365522,CHEMBL288247,tp0176,CHEMBL1628481,P35414,1,,,,
CCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCc1nnn[nH]1)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O,0.9999995,9.102905,d046429,CHEMBL2070373,tp0430,CHEMBL1804,P30874,1,,,,
CCCC[C@H](NC(=O)[C@H](CN(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCc1nnn[nH]1)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O,0.9999968,9.022203,d046382,CHEMBL2069317,tp0430,CHEMBL1804,P30874,1,,,,
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2cccc(-c3cccc(OC)c3)c2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,1.0,9.389926,d126047,CHEMBL3581664,tp0003,CHEMBL243,Q72874,1,,,,
COc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,0.8372632,9.024278,d365244,CHEMBL488778,tp0430,CHEMBL1804,P30874,1,,,,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(Br)c2)cc1C#Cc1nn(C(C)C)c2ncnc(N)c12,0.5556956,9.145654,d120812,CHEMBL3425518,tp0430,CHEMBL1804,P30874,1,,,,
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2cccc(-c3ccccc3OC)c2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,1.0,9.461258,d126057,CHEMBL3581674,tp0003,CHEMBL243,Q72874,1,,,,
