smiles,output_class,output_reg,compound_id,parent_chemblid,target_protein_id,target_chembl_id,uniprot_id,count,parent_pref_name,max_phase,first_approval,usan_year
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)c1ncccc1O)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,1.0,9.192573,d304701,CHEMBL209878,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CCS(=O)(=O)c1ccc(CNc2nc3cnc(-c4c(OC)ncnc4C4CC4)nc3n([C@H](C)C(C)C)c2=O)nc1,0.50161475,9.04346,d231364,CHEMBL4764601,tp0176,CHEMBL1628481,P35414,1,,,,
CCCc1cc(-c2nc(C(C)(C)C)cs2)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O,0.99999607,9.027696,d313267,CHEMBL220117,tp0013,CHEMBL249,P25103,1,,,,
CCCc1cc(-c2nc(C(F)(F)F)cs2)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O,0.9999999,9.12609,d313268,CHEMBL374090,tp0013,CHEMBL249,P25103,1,,,,
CCCc1cc(-c2nc(OCC)c(C)s2)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O,0.99999607,9.283257,d313338,CHEMBL373791,tp0013,CHEMBL249,P25103,1,,,,
CCCc1cc(-c2nc3c(s2)CCC3)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O,0.9999976,9.02268,d313362,CHEMBL220223,tp0013,CHEMBL249,P25103,1,,,,
CCN(CC)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,0.7006847,9.537447,d306742,CHEMBL386294,tp0176,CHEMBL1628481,P35414,1,,,,
CCN(CC)[C@H](C)[C@@H](c1ccc2cc(OCC3(C(=O)O)CCCC3)ccc2c1)n1ccnc1,0.9999944,9.088691,d303026,CHEMBL205862,tp0013,CHEMBL249,P25103,1,,,,
CCOCCOCCNC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(=O)NOC)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0.99999905,9.036077,d303991,CHEMBL376728,tp0430,CHEMBL1804,P30874,1,,,,
CC[C@H]([C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C,0.9999994,9.093305,d303009,CHEMBL208443,tp0013,CHEMBL249,P25103,1,,,,
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c(N2CCC(C(=O)O)CC2)c1,0.99976045,9.015491,d312054,CHEMBL221956,tp0430,CHEMBL1804,P30874,1,,,,
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Sc3ccc(C(=O)N(C)C)cc3)cc2C(=O)Nc2ccc(Cl)cn2)cc1,1.0,9.266973,d311973,CHEMBL221756,tp0082,CHEMBL244,P00742,1,,,,
CCC(=O)c1c(Cl)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,0.9999998,9.208448,d311624,CHEMBL222159,tp0013,CHEMBL249,P25103,1,,,,
NC1CCN(C(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,0.8133219,9.096152,d071647,CHEMBL94762,tp0227,CHEMBL1907594;CHEMBL3068,P32297;P32297,1,,,,
N[C@H]1CC[C@@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,0.76922065,9.004016,d072540,CHEMBL93763,tp0227,CHEMBL1907594;CHEMBL3068,P32297;P32297,1,,,,
Nc1cccc(CN2C(=O)N(Cc3ccc4c(N)n[nH]c4c3)C(CCc3ccccc3)C(O)C2Cc2ccccc2)c1,0.99999744,9.342301,d062356,CHEMBL2296976,tp0003,CHEMBL243,Q72874,1,,,,
Nc1cccc(CN2C(=O)N(Cc3ccc4cn[nH]c4c3)C(Cc3ccccc3)C(O)C2CCc2ccccc2)c1,0.9999998,9.417851,d062363,CHEMBL2296983,tp0003,CHEMBL243,Q72874,1,,,,
Nc1n[nH]c2cc(CN3C(=O)N(Cc4ccccc4)C(Cc4ccccc4)C(O)C3CCc3ccccc3)ccc12,0.99995786,9.002364,d062351,CHEMBL2296972,tp0003,CHEMBL243,Q72874,1,,,,
Nc1n[nH]c2ccc(CN3C(=O)N(Cc4ccc5[nH]nc(N)c5c4)C(Cc4ccccc4)C(O)C3CCc3ccccc3)cc12,0.99995154,9.056725,d062339,CHEMBL2296960,tp0003,CHEMBL243,Q72874,1,,,,
Nc1n[nH]c2ccc(CN3C(=O)N(Cc4ccccc4)C(CCc4ccccc4)C(O)C3Cc3ccccc3)cc12,0.9999617,9.063531,d062352,CHEMBL2296973,tp0003,CHEMBL243,Q72874,1,,,,
O=C(C[C@@H](CC1CCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccccc1)NO,0.9306461,9.141539,d071016,CHEMBL420077,tp0227,CHEMBL1907594;CHEMBL3068,P32297;P32297,1,,,,
O=C(C[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccccc1)NO,0.9376666,9.13388,d071252,CHEMBL95165,tp0227,CHEMBL1907594;CHEMBL3068,P32297;P32297,1,,,,
O=C(C[C@@H](CCCC1CCCCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCc1ccccc1)NO,0.86269015,9.256483,d062777,CHEMBL328005,tp0227,CHEMBL1907594;CHEMBL3068,P32297;P32297,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)OCc1ccncc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,1.0,9.374414,d304817,CHEMBL384210,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](CCNC(=O)NO)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,1.0,9.029884,d304015,CHEMBL425813,tp0430,CHEMBL1804,P30874,1,,,,
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](CNC(=O)NO)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,1.0,9.015836,d304016,CHEMBL428484,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)C(=O)c1cn(Cc2c(F)cccc2F)c2sc(-c3ccc(NC(=O)C(C)(C)O)cc3)c(CN(C)Cc3ccccc3)c2c1=O,0.989948,9.170093,d305228,CHEMBL212121,tp0176,CHEMBL1628481,P35414,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)C1CC1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,1.0,9.397207,d304580,CHEMBL378557,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)Cc1cccnc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.9999999,9.123312,d304704,CHEMBL378044,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)N(C)C)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.9999998,9.170967,d304581,CHEMBL379162,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)N1CCOCC1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,1.0,9.064723,d304920,CHEMBL207077,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)OC(C)(C)C)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.9999998,9.041316,d304578,CHEMBL441528,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)OCc1ccccn1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,1.0,9.368696,d304815,CHEMBL211715,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)OCc1cccnc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.9999999,9.3950405,d304816,CHEMBL377192,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
O=C(C[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCc1ccccc1)NO,0.9837445,9.208839,d062891,CHEMBL327780,tp0227,CHEMBL1907594;CHEMBL3068,P32297;P32297,1,,,,
Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4cc(F)ccc43)C(F)(F)F)cc12,0.99998647,9.005432,d306203,CHEMBL377844,tp0013,CHEMBL249,P25103,1,,,,
Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4ccc(F)cc43)C(F)(F)F)cc12,0.99999774,9.047784,d306204,CHEMBL211331,tp0013,CHEMBL249,P25103,1,,,,
Nc1noc2ccc(-n3nc(C(F)(F)F)c4[nH]c(=O)n(-c5ccc(-c6ccccc6CN6CCC(O)CC6)cc5)c(=O)c43)cc12,0.5665649,9.012582,d309022,CHEMBL215158,tp0176,CHEMBL1628481,P35414,1,,,,
Nc1noc2ccc(-n3nc(C(F)(F)F)c4[nH]c(=O)n(-c5ccc(-c6ccccc6CN6CC[C@@H](O)C6)cc5)c(=O)c43)cc12,0.7335067,9.314867,d309021,CHEMBL214462,tp0176,CHEMBL1628481,P35414,1,,,,
Nc1noc2ccc(-n3nc(C(F)(F)F)c4c3C(=O)N(c3ccc(-c5ccccc5CN5CCCC5)cc3)CC4)cc12,0.79598874,9.571632,d306915,CHEMBL378092,tp0176,CHEMBL1628481,P35414,1,,,,
Nc1noc2ccc(-n3nc(C(F)(F)F)c4c3C(=O)N(c3ccc(-c5ccccc5CN5CCOCC5)cc3)CC4)cc12,0.7393816,9.575768,d306784,CHEMBL428982,tp0176,CHEMBL1628481,P35414,1,,,,
O=C(CCc1ccc(Cl)cc1)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,1.0,9.376537,d309514,CHEMBL267027,tp0093,CHEMBL237,P41145,1,,,,
Cc1nn(-c2ccc3onc(N)c3c2)c2c(=O)n(-c3ccc(-c4ccccc4CN4CC[C@H](O)C4)cc3)cnc12,0.61677116,9.162168,d309037,CHEMBL214444,tp0176,CHEMBL1628481,P35414,1,,,,
CC(C)c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(O)c(Cl)c4)c4ccccc43)cn12,0.9441534,9.094139,d267718,CHEMBL5206397,tp0713,CHEMBL2063,Q16739,1,,,,
CC(C)/C=C(\C#N)C(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1,0.6062149,9.0630455,d263054,CHEMBL5190107,tp0176,CHEMBL1628481,P35414,1,,,,
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Sc3ccc(C(=O)O)cc3)cc2C(=O)Nc2ccc(Cl)cn2)cc1,1.0,9.272318,d312059,CHEMBL218528,tp0082,CHEMBL244,P00742,1,,,,
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc2c(c1)C(=O)O[B-]2(O)O,1.0,9.045664,d270454,CHEMBL5266997,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CC(C)C[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,0.9999447,9.554875,d265480,CHEMBL5198492,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)C[C@H]1C(=O)N[C@H](CCCN=C(N)N)C(=O)N2CCC[C@H]2C(=O)NCCC(=O)N2CC=C[C@H]2C(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](CO)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1C,0.99998444,9.102936,d271052,CHEMBL264806,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,0.9999746,9.3999,d263716,CHEMBL5192474,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,0.9999472,9.440625,d262303,CHEMBL5187728,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,0.9999688,9.51808,d261053,CHEMBL5183511,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,0.9999819,9.558035,d261241,CHEMBL5184108,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)NCCC(=O)N[C@@H](CCCn1cc(COc2ccc(/C=C/C3=[N+]4C(=Cc5ccc(-c6cccs6)n5[B-]4(F)F)C=C3)cc2)nn1)C(N)=O,0.99997824,9.50597,d261046,CHEMBL5183487,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cn1cc(COc2ccc(/C=C/C3=[N+]4C(=Cc5ccc(-c6cccs6)n5[B-]4(F)F)C=C3)cc2)nn1)C(N)=O,0.99998224,9.474713,d265493,CHEMBL5198557,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)[C@H](NC(=O)CCN1CCC(Oc2ccccc2Cc2ccccc2)CC1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCC(=O)N[C@@H](CCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)C(N)=O,0.99998504,9.609304,d263166,CHEMBL5190566,tp0430,CHEMBL1804,P30874,1,,,,
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1,1.0,9.21886,d270890,CHEMBL5268648,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Sc3ccccc3)cc2C(=O)Nc2ccc(Cl)cn2)cc1,1.0,9.039105,d312053,CHEMBL221703,tp0082,CHEMBL244,P00742,1,,,,
CN(C)C[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,0.99999934,9.065682,d303027,CHEMBL204684,tp0013,CHEMBL249,P25103,1,,,,
CN(C)Cc1ccccc1-c1ccc(N2CCCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)c(F)c1,0.63101584,9.356298,d307281,CHEMBL209916,tp0176,CHEMBL1628481,P35414,1,,,,
CN(C)Cc1ccccc1-c1ccc(N2CCCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,0.6192889,9.263715,d307279,CHEMBL210175,tp0176,CHEMBL1628481,P35414,1,,,,
CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,0.6013893,9.497212,d307075,CHEMBL211410,tp0176,CHEMBL1628481,P35414,1,,,,
CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4cccc5onc(N)c45)c3C2=O)cc1,0.5651868,9.292468,d312453,CHEMBL373528,tp0176,CHEMBL1628481,P35414,1,,,,
CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccccc4C(N)=O)c3C2=O)cc1,0.9744118,9.002227,d312481,CHEMBL385756,tp0176,CHEMBL1628481,P35414,1,,,,
CN1CCC(Oc2ccc(CCNC(=O)c3cnc(C#N)nc3NCC(C)(C)C)cc2)CC1,0.9816306,9.193499,d311710,CHEMBL449096,tp0713,CHEMBL2063,Q16739,1,,,,
CNC(=O)Nc1ccc(-c2sc3c(c2CN(C)Cc2ccccc2)c(=O)c(C(=O)C(C)C)cn3Cc2c(F)cccc2F)cc1,0.9975519,9.013979,d305201,CHEMBL377396,tp0176,CHEMBL1628481,P35414,1,,,,
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCN(C(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@H](Cc2c[nH]cn2)NC(C)=O)[C@@H](CCCN=C(N)N)C1=O,0.9999999,9.079718,d308318,CHEMBL384774,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
Cc1nn(-c2ccc3onc(N)c3c2)c2c1CCN(c1ccc(-c3ccccc3CN3CC[C@@H](O)C3)cc1F)C2=O,0.70227575,9.108212,d306921,CHEMBL379397,tp0743,CHEMBL3028,Q96KS0,1,,,,
CNCc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,0.67822886,9.3316965,d306974,CHEMBL209376,tp0176,CHEMBL1628481,P35414,1,,,,
CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1,0.99998933,9.144087,d308460,CHEMBL386661,tp0430,CHEMBL1804,P30874,1,,,,
COC(=O)N[C@@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.9999998,9.352898,d304577,CHEMBL208651,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.9999998,9.352898,d304575,CHEMBL378214,tp0368,CHEMBL2366517,Q9YQ12,1,,,,
COC(=O)c1c(F)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)Cl)CC2)c(F)c1,0.9999979,9.075491,d311614,CHEMBL220371,tp0013,CHEMBL249,P25103,1,,,,
COC(=O)c1c(F)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,0.9999995,9.04935,d311611,CHEMBL374580,tp0013,CHEMBL249,P25103,1,,,,
COC(=O)c1ccc(Sc2ccc(NC(=O)c3ccc(C(=N)N(C)C)cc3)c(C(=O)Nc3ccc(Cl)cn3)c2)cc1,1.0,9.120689,d312056,CHEMBL221921,tp0082,CHEMBL244,P00742,1,,,,
COc1cc(Br)c(OC)c2c1C(CN)C2,0.97094524,9.050342,d308522,CHEMBL212197,tp0530,CHEMBL1946;CHEMBL2094268,P49286;P49286,1,,,,
COc1ccc(-n2nc(C#N)c3nc(C)n(-c4ccc(-c5ccccc5CN(C)C)cc4)c(=O)c32)cc1,0.9999526,9.230898,d306004,CHEMBL210121,tp0176,CHEMBL1628481,P35414,1,,,,
COc1ccc(-n2nc(C(F)(F)F)c3c2C(=O)N(c2ccc(-c4ccccc4S(C)(=O)=O)cc2)CC3)c(C(N)=O)c1,0.99935496,9.311968,d312493,CHEMBL221377,tp0176,CHEMBL1628481,P35414,1,,,,
CC(C)/C=C(/C#N)C(=O)N1CCC[C@@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2F)c2c(N)ncnc21,0.9987811,9.403681,d266960,CHEMBL5203733,tp0176,CHEMBL1628481,P35414,1,,,,
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCN(C(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(C)=O)[C@@H](CCCN=C(N)N)C1=O,1.0,9.164179,d308319,CHEMBL385000,tp0430,CHEMBL1804,P30874,1,,,,
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OCCN3CC(CF)C3)cc2F)N1C[C@](C)(F)CO,0.99393606,9.074585,d239213,CHEMBL4847664,tp0013,CHEMBL249,P25103,1,,,,
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cnc(N3CCC(CCN4CCC5(CC4)CCN(c4ccc6c(c4)CN(C4CCC(=O)NC4=O)C6=O)CC5)CC3)nc2)N1CC(C)(C)F,0.9999983,9.150289,d230223,CHEMBL4760508,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cnc(N3CCC(CCN4CCOC5(CC4)CCN(c4ccc6c(c4)CN(C4CCC(=O)NC4=O)C6=O)CC5)CC3)nc2)N1CC(C)(C)F,0.99999905,9.340895,d235915,CHEMBL4792381,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cnc(N3CCC(CN4CCOC5(CC4)CCN(c4ccc6c(c4)CN(C4CCC(=O)NC4=O)C6=O)CC5)CC3)nc2)N1CC(C)(C)F,0.9999999,9.580551,d238099,CHEMBL4800591,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
C[C@@H]1[C@@H](C)C/C=C(\F)[C@H](COCCCN2CCOCC2)N2CC[C@H]2CN2C[C@@]3(CCCc4cc(Cl)ccc43)COc3ccc(cc32)C(=O)NS1(=O)=O,0.9999401,9.4579315,d235826,CHEMBL4792037,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2C[C@H](F)CN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,0.9999859,9.015346,d229822,CHEMBL4759174,tp0430,CHEMBL1804,P30874,1,,,,
C[S+]([O-])CCOc1cc(N2CCN(CCn3c(=O)sc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)cc1F,0.5310213,9.178119,d230312,CHEMBL4760867,tp0430,CHEMBL1804,P30874,1,,,,
Cc1c(C(=O)N2CCCCC2)ccn2c3c(nc12)[C@@H]1[C@H](CC3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1ccnc(Cl)c1F,0.9999981,9.086949,d235590,CHEMBL4791190,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
Cc1cc(Cl)cc(N2C=Nc3cc(C)c(-c4cncc(C#N)c4)cc3C2C(=O)N(C)C[C@@H]2CCCN2)c1,0.99998987,9.094755,d229640,CHEMBL4758568,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
Cc1cc(Cl)cc(N2C=Nc3cc(C)c(-c4cncc(O)c4)cc3C2C(=O)N(C)C[C@@H]2CCCN2)c1,0.9999515,9.232353,d235358,CHEMBL4790334,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
N=C(N)NCCC[C@H](NC(=O)COCCOCCOCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC1=O,0.99937594,9.106677,d064111,CHEMBL2314822,tp0430,CHEMBL1804,P30874,1,,,,
Cn1cc(-c2cc(C(C)(C)O)ccc2OC2CC2)c2cc(C(=O)NCc3ccc(C(=O)Nc4ccccc4N)cc3)[nH]c2c1=O,0.86601514,9.176069,d229591,CHEMBL4758435,tp0430,CHEMBL1804,P30874,1,,,,
O=C(CCCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)NCCNC(=O)CCc1cn(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)cn1,0.9825195,9.2465105,d238175,CHEMBL4802414,tp0430,CHEMBL1804,P30874,1,,,,
